Year,County,NCICCode,Violent_sum,Homicide_sum,ForRape_sum,Robbery_sum,AggAssault_sum,Property_sum,Burglary_sum,VehicleTheft_sum,LTtotal_sum,ViolentClr_sum,HomicideClr_sum,ForRapeClr_sum,RobberyClr_sum,AggAssaultClr_sum,PropertyClr_sum,BurglaryClr_sum,VehicleTheftClr_sum,LTtotalClr_sum,TotalStructural_sum,TotalMobile_sum,TotalOther_sum,GrandTotal_sum,GrandTotClr_sum,RAPact_sum,ARAPact_sum,FROBact_sum,KROBact_sum,OROBact_sum,SROBact_sum,HROBnao_sum,CHROBnao_sum,GROBnao_sum,CROBnao_sum,RROBnao_sum,BROBnao_sum,MROBnao_sum,FASSact_sum,KASSact_sum,OASSact_sum,HASSact_sum,FEBURact_Sum,UBURact_sum,RESDBUR_sum,RNBURnao_sum,RDBURnao_sum,RUBURnao_sum,NRESBUR_sum,NNBURnao_sum,NDBURnao_sum,NUBURnao_sum,MVTact_sum,TMVTact_sum,OMVTact_sum,PPLARnao_sum,PSLARnao_sum,SLLARnao_sum,MVLARnao_sum,MVPLARnao_sum,BILARnao_sum,FBLARnao_sum,COMLARnao_sum,AOLARnao_sum,LT400nao_sum,LT200400nao_sum,LT50200nao_sum,LT50nao_sum
2004,Contra Costa County,Kensington,1,0,0,0,1,148,20,22,106,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,14,15,2,10,3,5,2,0,3,22,0,0,0,0,0,68,1,7,7,0,23,26,21,22,37
2004,Contra Costa County,Martinez,97,0,9,13,75,1559,286,210,1063,12,0,0,0,12,55,9,3,43,0,0,0,0,0,8,1,3,0,2,8,2,0,0,2,2,0,7,1,9,35,30,131,155,167,71,87,9,119,67,45,7,128,34,48,1,3,41,601,38,31,130,9,209,276,216,249,322
2004,Contra Costa County,Lafayette,34,0,9,16,9,842,171,61,610,11,0,2,2,7,48,26,3,19,1,0,0,1,0,9,0,11,0,0,5,0,5,3,1,0,2,5,0,0,6,3,120,51,88,12,26,50,83,16,8,59,44,16,1,0,0,29,370,24,20,84,8,75,210,136,162,102
2004,Contra Costa County,Moraga,17,0,0,3,14,232,34,24,174,8,0,0,0,8,9,1,0,8,0,0,7,7,0,0,0,2,0,0,1,0,0,1,0,1,0,1,0,0,3,11,18,16,18,6,6,6,16,7,2,7,18,1,5,0,0,3,102,2,4,23,1,39,51,35,38,50
2004,Contra Costa County,Contra Costa E. Bay Reg. Park Dist.,17,0,0,16,1,168,10,14,144,3,0,0,3,0,6,2,2,2,0,0,5,5,0,0,0,3,1,1,11,1,0,0,0,0,0,15,0,0,1,0,7,3,2,0,0,2,8,1,5,2,12,0,2,2,0,0,128,0,1,0,0,13,30,26,23,65
2004,Contra Costa County,Contra Costa BART,29,1,0,25,3,611,0,154,457,9,0,0,8,1,21,0,5,16,0,1,0,1,0,0,0,3,1,1,20,0,0,0,0,0,0,25,1,0,2,0,0,0,0,0,0,0,0,0,0,0,123,30,1,1,17,0,238,35,78,0,0,88,100,67,222,68
2004,Contra Costa County,Contra Costa Community. College,14,0,0,5,9,279,30,48,201,2,0,0,0,2,5,3,1,1,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,1,0,0,3,6,15,15,0,0,0,0,30,4,11,15,47,0,1,0,3,0,66,11,5,72,0,44,46,47,60,48
2004,Contra Costa County,Danville,49,0,6,13,30,755,116,46,593,30,0,0,4,26,99,17,17,65,3,0,1,4,0,5,1,11,1,0,1,2,1,4,0,2,2,2,0,3,7,20,57,59,80,2,23,55,36,6,6,24,36,8,2,0,0,39,325,21,21,99,8,80,201,133,145,114
2004,Contra Costa County,San Ramon,47,0,2,15,30,1225,156,144,925,30,0,2,8,20,174,29,33,112,1,1,1,3,0,2,0,7,0,0,8,3,4,1,1,2,1,3,0,1,18,11,98,58,63,6,19,38,93,8,12,73,114,20,10,0,0,68,536,44,18,159,3,97,336,202,207,180
2004,Contra Costa County,Orinda,12,0,3,5,4,331,66,27,238,13,0,4,5,4,41,14,6,21,1,0,0,1,0,3,0,2,0,0,3,1,1,0,0,0,2,1,0,1,3,0,40,26,44,3,21,20,22,2,4,16,19,6,2,0,0,6,149,10,5,37,1,30,88,65,47,38
